	Type	Sex	Time
cell_357	1	1	12
cell_358	2	2	8
cell_359	2	2	8
cell_360	2	2	8
cell_361	2	2	8
cell_362	2	2	8
cell_363	2	2	8
cell_364	2	2	8
cell_365	2	2	8
cell_366	2	2	8
cell_367	2	2	8
cell_368	2	2	8
cell_369	2	2	8
cell_370	2	2	8
cell_371	2	2	8
cell_372	2	2	8
cell_373	2	2	8
cell_374	2	2	8
cell_375	2	2	8
cell_376	2	2	8
cell_377	2	2	8
cell_378	2	2	8
cell_379	2	2	8
cell_380	2	2	8
cell_381	2	2	8
cell_382	2	2	8
cell_383	2	2	8
cell_384	2	2	10
cell_385	2	2	10
cell_386	2	2	10
cell_387	2	2	10
cell_388	2	2	10
cell_389	2	2	10
cell_390	2	2	10
cell_391	2	2	10
cell_392	2	2	10
cell_393	2	2	10
cell_394	2	2	10
cell_395	2	2	11
cell_396	2	2	11
cell_397	2	2	11
cell_398	2	2	11
cell_399	2	2	11
cell_400	2	2	11
cell_401	2	2	11
cell_402	2	2	11
cell_403	2	2	13
cell_404	2	2	13
cell_405	2	2	13
cell_406	2	1	7
cell_407	2	1	7
cell_408	2	1	7
cell_409	2	1	7
cell_410	2	1	7
cell_411	2	1	7
cell_412	2	1	9
cell_413	2	1	9
cell_414	2	1	9
cell_415	2	1	9
cell_416	2	1	9
cell_417	2	1	9
cell_418	2	1	9
cell_419	2	1	9
cell_420	2	1	9
cell_421	2	1	9
cell_422	2	1	10
cell_423	2	1	10
cell_424	2	1	10
cell_425	2	1	10
cell_426	2	1	11
cell_427	2	1	11
cell_428	2	1	11
cell_429	2	1	11
cell_430	2	1	11
cell_431	2	1	11
cell_432	2	1	11
cell_433	2	1	11
cell_434	2	1	11
cell_435	2	1	12
cell_436	2	1	12
cell_437	2	1	12
cell_438	2	1	12
cell_439	2	1	12
cell_440	2	1	12
cell_441	2	1	12
cell_442	2	1	12
cell_443	2	1	12
cell_444	1	1	9
cell_445	1	1	9
cell_446	1	1	9
cell_447	1	1	9
cell_448	1	1	9
cell_449	1	1	9
cell_450	1	1	9
cell_451	1	1	9
cell_452	1	1	9
